Team,Conf
Atlanta Hawks,East
Boston Celtics,East
Brooklyn Nets,East
Charlotte Hornets,East
Chicago Bulls,East
Cleveland Cavaliers,East
Dallas Mavericks,West
Denver Nuggets,West
Detroit Pistons,East
Golden State Warriors,West
Houston Rockets,West
Indiana Pacers,East
Los Angeles Clippers,West
Los Angeles Lakers,West
Memphis Grizzlies,West
Miami Heat,East
Milwaukee Bucks,East
Minnesota Timberwolves,West
New Orleans Pelicans,West
New York Knicks,East
Oklahoma City Thunder,West
Orlando Magic,East
Philadelphia 76ers,East
Phoenix Suns,West
Portland Trail Blazers,West
Sacramento Kings,West
San Antonio Spurs,West
Toronto Raptors,East
Utah Jazz,West
Washington Wizards,East
